id,kod_sekolah,nama_sekolah,nama_pengetua,alamat_sekolah,emel_sekolah,no_telefon,no_faks,poskod,id_jenis_sekolah,id_ppd,id_bandar,id_daerah,id_negeri,status
,XFT3001,SEKOLAH MENENGAH ISLAMIAH TAWAU,ENCIK,"KM 1.5, JLN UTARA,  PETI SURAT 604",a@gmail.com126,089-772761,089-772761,91008,10,99,1245,81,12,1
,XXT3002,SEKOLAH MENENGAH UGAMA ISLAMIAH KUNAK,ENCIK,PETI SURAT 96,a@gmail.com128,089-852334,089-852334,91207,11,104,1216,94,12,1
,XXT3002,SEKOLAH MENENGAH UGAMA ISLAMIAH KUNAK,ENCIK,PETI SURAT 96,a@gmail.com129,089-852334,089-852334,91207,14,104,1216,94,12,1
,YFA8101,SMK PESANTREN ABDUL TAIB MAHMUD,ENCIK,"SMK PESANTREN ABDUL TAIB MAHMUD, SADONG JAYA, ASAJAYA",a@gmail.com235,082-824009,082-824009,94600,10,121,1372,104,13,1
,YFA8101,SMK PESANTREN ABDUL TAIB MAHMUD,ENCIK,SMK PESANTREN ABDUL TAIB MAHMUD,a@gmail.com236,082-824009,082-824009,94600,14,121,1372,104,13,1
,BFT8003,SEKOLAH AGAMA MENENGAH TINGGI TENGKU AMPUAN JEMAAH,ENCIK,SEKSYEN 11,a@gmail.com54,03-55102505,03-55102506,40000,10,28,1067,108,10,1
,BFT8003,SEKOLAH AGAMA MENENGAH TINGGI TENGKU AMPUAN JEMAAH,ENCIK,SEKSYEN 11,a@gmail.com55,03-55102505,03-55102506,40000,14,28,1067,108,10,1
,BFT1002,SEKOLAH AGAMA MENENGAH TINGGI TENGKU AMPUAN RAHIMAH,ENCIK,SEKOLAH AGAMA MENENGAH TINGGI TENGKU AMPUAN RAHIMAH,a@gmail.com46,03-31872396,03-31813595,42700,10,28,1027,109,10,1
,BFT1002,SEKOLAH AGAMA MENENGAH TINGGI TENGKU AMPUAN RAHIMAH,ENCIK,SEKOLAH AGAMA MENENGAH TINGGI TENGKU AMPUAN RAHIMAH,a@gmail.com57,03-31872396,03-31813595,42700,14,28,1027,109,10,1
,BYA6061,MAAHAD INTEGRASI TAHFIZ SELANGOR SABAK BERNAM,ENCIK,"JALAN SAPINTAS, BAGAN TERAP,",a@gmail.com53,03-32161723,03-32161723,45300,11,28,1085,111,10,1
,BFT5002,SAMT KUALA KUBU BHARU,ENCIK,JALAN PAHANG,a@gmail.com49,03-60641224,03-60644800,44000,10,28,1012,113,10,1
,BFT5002,SAMT KUALA KUBU BHARU,ENCIK,JALAN PAHANG,a@gmail.com50,03-60641224,03-60644800,44000,14,28,1012,113,10,1
,TTT1111,INSTITUT PENGAJIAN ISLAM,ENCIK,"KAMPUS BINJAI, KEMAMAN ",a@gmail.com242,09-8503560,09-8503560,24000,11,71,1133,119,11,1
,YYY0450,MAAHAD TAHFIZ AL-QURAN TERENGGANU,ENCIK,KAMPUS PADANG MIDIN,a@gmail.com241,09-6191046,09-6191995,21400,10,70,1172,122,11,1
,WLA0002,PONDOK MODEN AL-'ABAQIRAH,ENCIK,"DARUL KIFAYAH, LOT 52566, JLN 36/10, TMN KOPERASI POLIS F 2",a@gmail.com245,03-61867188,03-61877188,68100,11,85,1346,125,14,1
,WAA0001,PONDOK MODEN AL-'ABAQIRAH,ENCIK,"DARUL KIFAYAH, LOT 52566, JLN 36/10, TMN KOPERASI POLIS F 2",a@gmail.com246,03-61867188,03-61877188,68100,14,85,1346,125,14,1
,KEM0001,MADRASAH AN-NI'MAH AL-ISLAMIYAH AL-THANAWIYAH,ENCIK,"#144E, ROAD NO 5, KROM 1, PHUM 2, CHRANG CHOMREH 1, RUSSEY K",a@gmail.com247,02-23230487,02-999999,99999,13,144,1395,130,17,1
,KEM0001,MADRASAH AN-NI'MAH AL-ISLAMIYAH AL-THANAWIYAH,ENCIK,"#144E, ROAD NO 5, KROM 1, PHUM 2, CHRANG CHOMREH 1, RUSSEY K",a@gmail.com248,02-23230487,02-999999,99999,14,144,1395,130,17,1
,KEM0002,MADRASAH AN-NI'MAH AL-ISLAMIYAH POTI IN,ENCIK,"#144E, ROAD NO 5, KROM 1, PHUM 2, CHRANG CHOMREH 1, RUSSEY K",a@gmail.com249,02-23230487,02-999999,99999,13,144,1395,130,17,1
,KEM0003,MAAHAD MUHAMMADI BENG BROUL,ENCIK,"#144E, ROAD NO 5, KROM 1, PHUM 2, CHRANG CHOMREH 1, RUSSEY K",a@gmail.com250,02-23230487,02-999999,99999,13,144,1395,130,17,1
